TIME,Baseline,Initial,Intermediate,Robust
9/30/1899,94.04,94.04,94.04,94.04
9/30/1900,107.66,107.64,107.64,107.64
9/30/1901,109.83,109.43,107.5,106.75
9/30/1902,114.28,113.8,111.68,110.76
9/30/1903,116.41,115.89,113.74,112.78
9/30/1904,118.48,117.9,115.85,114.9
9/30/1905,121.12,120.47,118.38,117.48
9/30/1906,120.02,119.23,117.29,116.06
9/30/1907,115.17,114.1,111.73,109.99
9/30/1908,117.94,116.67,114.12,112.27
9/30/1909,120.35,118.99,116.25,114.42
9/30/1910,121.68,120.27,117.53,115.71
9/30/1911,120.73,118.99,115.7,112.92
9/30/1912,123.26,121.39,117.71,114.83
9/30/1913,126.79,124.88,121.18,118.3
9/30/1914,126.28,124.31,120.73,117.93
9/30/1915,123.45,121.27,117.74,114.69
9/30/1916,122.94,120.47,115.74,112.46
9/30/1917,124.01,121.49,116.74,113.46
9/30/1918,125.51,122.96,118.22,114.97
9/30/1919,128.16,125.59,120.96,117.76
9/30/1920,131.32,128.74,124.26,121.12
9/30/1921,131.16,128.43,123.86,120.31
9/30/1922,133.68,130.83,126.02,122.41
9/30/1923,132.73,129.84,125.16,121.66
9/30/1924,136.9,134.01,129.43,125.99
9/30/1925,137.89,134.98,130.47,127.12
9/30/1926,140.65,137.74,133.29,130
9/30/1927,142.54,139.61,135.28,132.07
9/30/1928,145.53,142.6,138.34,135.18
9/30/1929,148.74,145.81,141.62,138.52
9/30/1930,152.79,149.84,145.72,142.69
9/30/1931,158.88,155.91,151.86,148.93
9/30/1932,161.97,158.99,155.02,152.16
9/30/1933,164.98,162.01,158.1,155.3
9/30/1934,169.61,166.61,162.75,159.99
9/30/1935,171.33,168.32,164.52,161.82
9/30/1936,170.76,167.58,163.4,159.82
9/30/1937,171.86,168.51,164.24,160.23
9/30/1938,169.21,165.75,161.48,157.08
9/30/1939,171.68,168.18,163.94,159.43
9/30/1940,172.36,168.8,164.62,160.14
9/30/1941,165.45,161.71,157.22,152.56
9/30/1942,163.65,159.63,153.52,148.88
9/30/1943,162.54,158.46,152.15,147.59
9/30/1944,165.17,161.03,154.8,150.3
9/30/1945,165.46,161.29,155.17,150.74
9/30/1946,167.06,162.89,156.91,152.56
9/30/1947,170.3,166.12,160.29,156.01
9/30/1948,172.97,168.8,163.11,158.91
9/30/1949,176.4,172.26,166.69,162.55
9/30/1950,180.46,176.31,170.88,166.81
9/30/1951,179.26,174.95,168.97,164.43
9/30/1952,177.1,172.51,166.1,160.61
9/30/1953,179.51,174.87,168.43,162.7
9/30/1954,182.39,177.74,171.32,165.54
9/30/1955,184.85,180.19,173.82,168.05
9/30/1956,182.58,177.65,170.03,164.09
9/30/1957,185.31,180.37,172.53,166.6
9/30/1958,182.15,177.01,169.03,163.17
9/30/1959,184.28,179.14,171.25,165.47
9/30/1960,189.2,184.08,176.33,170.62
9/30/1961,193.22,188.09,180.45,174.8
9/30/1962,195.5,190.36,182.86,177.31
9/30/1963,194.56,189.44,182.11,176.67
9/30/1964,197.24,192.16,185,179.67
9/30/1965,196.72,191.52,184.08,178.63
9/30/1966,200.16,194.98,187.56,182.17
9/30/1967,199.71,194.51,187.22,181.91
9/30/1968,202.69,197.5,190.34,185.13
9/30/1969,196.87,191.49,183.83,178.11
9/30/1970,198.71,193.11,184.95,178.95
9/30/1971,200.51,194.89,186.73,180.7
9/30/1972,204.04,198.43,190.34,184.35
9/30/1973,203.89,198.25,190.32,184.42
9/30/1974,205.06,199.43,191.69,185.92
9/30/1975,205.94,200.29,192.68,187
9/30/1976,208.51,202.89,195.41,189.81
9/30/1977,216.25,210.7,203.28,197.76
9/30/1978,212.98,207.42,200.18,194.8
9/30/1979,214.65,209.1,201.99,196.69
9/30/1980,211.95,206.11,197.77,192.31
9/30/1981,215.45,209.59,200.98,195.54
9/30/1982,209.16,203.09,194.35,188.6
9/30/1983,199.47,193.11,183.32,177.1
9/30/1984,201.62,194.99,184.42,177.71
9/30/1985,204.51,197.85,187.19,180.35
9/30/1986,201.49,194.69,183.74,176.86
9/30/1987,204.7,197.87,186.96,180.11
9/30/1988,209.5,202.66,191.82,184.98
9/30/1989,211.97,205.12,194.41,187.64
9/30/1990,216.2,209.39,198.78,192.06
9/30/1991,219.59,212.83,202.38,195.75
9/30/1992,223.76,217.02,206.78,200.25
9/30/1993,220.77,214.02,204.05,197.47
9/30/1994,223.05,216.34,206.6,200.07
9/30/1995,217.34,210.5,200.79,194.3
9/30/1996,217.87,210.88,201.24,194.61
9/30/1997,214.7,207.46,196.4,189.49
9/30/1998,207.74,200.3,188.97,181.57
9/30/1999,208.91,201.47,190.28,182.83
